ID,Crop Name,N (kg/ha),P (kg/ha),K (kg/ha),Temp (°C),Rain (mm),Hum (%),pH,Best Soil Types
94,Onion,102,56.8,94,19.86,728.2,51.5,6.23,Black
95,Coconut,342,300,1,23.95,1439.2,81,7.63,Alluvial
96,Wheat,138.6,54.7,52.9,18.71,846.1,41.4,7.49,Alluvial
97,Tobacco,114,55.6,111.9,31.15,1075.7,61.4,6.66,Loamy
98,Kalmegh,51.8,31.4,44.1,26.04,1304.3,67.3,6.45,Alluvial
99,Walnuts,165.6,91.8,123.2,-6.51,976.9,56,6.92,Mountain
100,Cardamom,79.3,97.2,167.9,19.43,2450.2,89.3,5.09,Laterite
101,Safflower,55.4,59.5,24.8,22.91,416.7,38.5,6.7,Alluvial
102,Amla,86.9,53.4,51.9,37.11,566.4,45.3,7.79,Saline
103,Coriander,67.9,48.4,49,21.94,573.4,53.1,6.75,Alluvial
104,Buckwheat,46.2,31.3,27.2,14.89,767.6,61,6.5,Sub-Montane
105,Tobacco,105.2,50.1,143.2,26.55,1176.6,77.8,6.29,Loamy
106,Tomato,105.8,99.2,115,22.53,622.3,70,6.96,Loamy
107,Aloe Vera,32.6,35.3,25.7,24.03,401.3,49.5,7.92,Arid
108,Mustard,93.5,46.7,37.5,19.4,512.3,57.3,6.08,Alluvial
109,Castor Seed,65.9,48.2,33.1,27.9,759.5,54,6.96,Alluvial
110,Bamboo,144.8,56.9,140.2,23.57,1564.2,69.6,5.4,Laterite
111,Cluster Bean,27.2,55.6,22.3,27.09,326.3,40.5,7.77,Alluvial
112,Rose,144.3,149.5,133.6,24.77,1189.4,76.5,6.92,Alluvial
113,Cauliflower,147.9,90.3,83.8,24.49,515.2,66.1,6.06,Loamy
114,Brinjal,106.1,70.6,65.7,21.11,775.4,72.8,7.08,Alluvial
115,Capsicum,114.1,92.1,108.7,26.49,993,62.2,6.6,Forest
116,Date Palm,109.6,48.5,93.4,26.64,133.9,27.1,8.06,Arid/Desert
117,Fig,66.4,48.2,92,33.55,522.4,57.9,7.72,Alluvial
118,Marigold,74.7,68.2,80.3,26.36,684.7,65.1,6.28,Loamy
119,Tobacco,117.4,57.1,125.8,26.19,1180.1,72.2,6.32,Alluvial
120,Clove,86.1,51,81.3,22.05,2930.8,85.6,5.56,Coastal
121,Cabbage,127.2,80.7,94.1,18.02,722.8,77.3,6.85,Alluvial
122,Little Millet,30.7,21.4,23,22.34,575.6,42,7.48,Gravelly
123,Guava,64.7,43.5,83.7,33.57,1078.7,62.4,6.78,Alluvial
124,Fig,64.5,47.2,86.8,22.33,774.5,52.2,8.43,Alluvial
125,Barley,69.7,35.4,20.2,15.71,516.5,57.1,7.38,Loamy
126,Wheat,110.6,57.7,47.2,22.98,737.2,50,6.06,Alluvial
127,Pomegranate,91.5,58.1,80.9,27.01,707.6,61.8,8.4,Sandy
128,Marigold,65.5,65.8,89.7,18.41,700.1,72.2,7.46,Red
129,Oats,86.1,49.8,46.4,12.29,761.1,58.9,7.16,Alluvial
130,Mace,76.4,52.5,92.3,23.64,2970.1,79,6.39,Laterite
131,Custard Apple,48.7,36.7,52.4,24.7,808.1,57.5,6.73,Red
132,Maize (Corn),110.5,70.9,49.4,18.07,625.8,74.3,6.07,Red
133,Neem,46.1,39.8,52.4,29.6,830.7,42.6,7.47,Sandy
134,Marigold,71.9,66.6,77.4,27.77,896.5,68.6,6.47,Alluvial
135,Cotton,116.4,51.1,62.1,30.63,902.5,45.1,6,Laterite
136,Wood Apple,44.2,39.7,45.3,26.98,802.9,53.7,8,Red
137,Mulberry,237.7,126.5,149.9,23.09,673.4,69.6,6.91,Black
138,Arecanut,130.6,42.8,169.6,20.03,2264,73.1,6.9,Coastal
139,Tea (Clone),127.2,38.8,77.8,18.75,2322.1,82.8,4.8,Red
140,Safflower,47.3,43.1,24.6,23.27,698.5,52.2,7.3,Black
141,Wood Apple,44.3,34.2,53.4,30.35,600.8,50.7,8,Saline
142,Green Gram,28.2,40.3,21,32.15,807.7,54.1,6.94,Alluvial
143,Walnuts,159.2,87.8,135.8,-8.67,887.7,63.2,7.33,Mountain
144,Plum,132.7,76,114,1.07,1111.4,55.8,6.05,Loamy
145,Black Gram,28.3,56.2,24.7,27.45,901.1,59.6,7.44,Alluvial
146,Cabbage,127.4,88.7,82,16.66,697.9,78.3,6.98,Loamy
147,Lettuce,97.4,47.4,50.1,20.52,432.3,62.6,6.52,Alluvial
148,Soybean,38.6,62.5,47.8,20.22,911.9,60.3,6.94,Loamy
149,Aloe Vera,29.8,32.4,31.5,29.23,245.6,48.4,8.2,Sandy
150,Rapeseed,86.5,59,36.4,10.78,699.3,48.2,6.99,Loamy
151,Maize (Corn),114.2,75.1,41.1,18.82,685.6,54.1,6.4,Red
152,Sweet Potato,67.2,40.8,140.3,27.12,1028.1,65.1,6.66,Sandy
153,Mace,74.1,42.3,116.9,31.87,2883.2,84.7,5.62,Red
154,Custard Apple,43.6,48.1,43.3,25.68,996.4,51.7,7.05,Gravelly
155,Cardamom,85,82.5,155.9,24.94,3287.5,86.9,6.09,Forest
156,Sweet Potato,69.6,42.1,111.4,29.43,821.2,74.5,6.59,Alluvial
157,Potato,127.2,117.7,184.5,22.38,623.9,64.4,5.44,Peaty
158,Avocado,102.5,64.2,149.4,28.47,1434.8,76.7,5.35,Red
159,Rubber,117.9,76.5,89.1,26.54,3712.5,81.8,5.72,Laterite
160,Sweet Potato,64.9,45.3,112.5,31.11,1113,84.6,6.15,Loamy
161,Khesari,16.5,46.6,27.9,16.17,501.8,36.5,7.42,Alluvial
162,Cashew Nut,72.7,36.2,57.7,24.85,1748.2,76.4,5.16,Coastal
163,Tomato,115.3,97.4,141.1,23.78,904.3,75,6.36,Alluvial
164,Buckwheat,48.8,23.5,23.3,0.59,791.1,55.1,6.26,Forest/Mountain
165,Coffee,148,57.2,128.7,27.72,1213.4,80.5,5.2,Red
166,Onion,109.5,73,101.1,15.72,537.5,59.5,7.01,Black
167,Mulberry,187,130.2,139.2,25.56,837.9,73.1,7.49,Alluvial
168,Brinjal,135.5,53.5,60.9,26.59,878.9,66.6,6.74,Loamy
169,Sugarcane,290.2,82.3,118.3,32.46,2311.3,81.6,7.47,Red
170,Makhana,64.3,59.5,57.3,33.33,2023,80.7,7.01,Marshy (Stagnant Water)
171,Kinnow,117.8,55.6,109.9,21.33,1052.3,68.4,6.93,Alluvial
172,Potato,137.7,141.9,197.6,19.64,796.8,70,5.11,Alluvial
173,Watermelon,77.9,62.5,81.4,37.81,439.2,47.7,6.63,Alluvial
174,Walnuts,155.9,107.1,116.7,-9.3,1120.6,67.6,7.43,Forest
175,Stevia,91.3,60.1,66.5,23.93,1314.8,70.3,7.1,Alluvial
176,Coconut,133.8,300,1,27.46,2291.8,75.6,7.89,Alluvial
177,Chili,102.7,60.4,61.5,26.46,1110.7,72.2,6.15,Loamy
178,Fig,64.9,45,83.1,23.01,444.1,40.1,6.89,Saline
179,Arecanut,106.9,56,160.5,25.9,2661.3,79.2,5.84,Coastal
180,Black Pepper,134.4,45.7,166.6,23.93,2800.1,92.4,6.06,Forest
181,Neem,40.1,24.2,43.6,26.16,942.8,50.7,7.39,Saline
182,Mango,119.3,64.6,123.9,27.89,1215.8,65.9,5.61,Alluvial
183,Banana,153.6,58.8,285.4,34.76,1782,85.2,6.67,Alluvial
184,Rose,130.6,145.1,146.7,26.34,896.6,77.1,6.21,Loamy
185,Coconut,130.7,300,1,31.13,1985.8,84.5,7.36,Sandy
186,Sunn Hemp,28,48,36.6,26.49,561.4,65.8,5.82,Alluvial
187,Curry Leaves,63.6,53.4,69.9,28.42,981.6,72.2,6.84,Alluvial
188,Carrot,99.1,90.9,117.5,16.86,602.3,64.8,6.81,Alluvial
189,Garlic,118.7,56.8,80.1,21.3,840.3,71,6.06,Alluvial
190,Cauliflower,126.3,88.1,81.8,23.77,545.7,66.9,6.48,Alluvial
191,Bamboo,154.9,61.4,106.7,25.75,1773.5,77.7,5.04,Laterite
192,Chironji,39.6,30.5,40.9,39.24,612.8,54.4,6.02,Laterite
193,Plum,106.8,62.9,82.7,3.28,840,60.9,6.71,Mountain
194,Shatavari,54.9,45.8,43.4,36.91,866.1,52.8,6.16,Alluvial
195,Apple,170.4,137.8,158,-7.05,1177.3,64.3,6.17,Karewa
196,Avocado,120.4,61.9,149.4,26.63,1553.9,61.2,6.16,Loamy
197,Grapes,121,186.1,201,31.38,736.8,52.4,6.6,Loamy
198,Vanilla,87.7,43.5,90.5,28.07,2929.6,87.3,6.41,Red
199,Horse Gram,29.2,32.8,25.5,27.35,404.3,64.1,6.86,Red
200,Pear,131.9,68.2,92.2,5.85,1062.8,62.9,6.37,Loamy
201,Barnyard Millet,39.4,21.2,20.6,22.14,412.1,64.1,7.13,Alluvial
202,Sapota,89.1,79.4,94.7,23.3,1407.8,80.6,6.38,Red
203,Lettuce,97.8,49.1,54.3,20.98,446.8,67,6,Alluvial
204,Little Millet,36.8,24.7,20.1,22.7,610.8,51.8,7.1,Red
205,Rubber,108.4,74.1,83.6,30.32,2779.5,76.9,5.21,Red
206,Fenugreek,52,45.8,25,20.65,510.7,57.1,6.21,Loamy
207,Almonds,141.2,82.2,106,10.46,755.3,52.1,6.91,Arid
208,Groundnut,29.5,70.6,73.7,25.26,500.4,60.4,7.26,Alluvial
209,Plum,140.5,76.6,99.3,21.76,1155.8,55.5,5.83,Mountain
210,Pigeon Pea,33.6,62.9,26,21.47,852.2,51.4,7.16,Loamy
211,Wood Apple,42,30.2,47.4,31.08,889.3,64.7,7.26,Red
212,Walnuts,178,109.4,127.5,-7.65,1139.6,58.9,6.16,Forest
213,Chickpea,29.3,51,27.3,23.49,649.6,45.7,7.38,Alluvial
214,Amaranth,52.3,30.9,39.3,29.57,603.1,56.3,7.43,Alluvial
215,Sunn Hemp,21.3,55.6,32.4,23.35,633.4,68.2,6.06,Sandy
216,Black Pepper,128.5,59.9,194.3,31.9,3128.5,90,5,Red
217,Potato,159.1,125.1,151.6,23.44,523.2,74.9,6.07,Alluvial
218,Chironji,42.4,38.8,30.7,31.4,599.4,47.8,7.43,Gravelly
219,Wood Apple,42.1,47.9,48.8,32.05,933.4,46.6,7.59,Red
220,Cowpea,29.6,46.2,33.3,32.21,573.6,66.3,6.56,Red
221,Shatavari,50.9,52.2,41.9,36.19,810.4,60,6.76,Sandy
222,Fig,78.8,54.6,87.1,26.85,679.9,51,7.44,Sandy
223,Soybean,32.2,85.5,49.8,24.67,846.6,61.5,6.74,Alluvial
224,Vanilla,95.9,48.6,87,26.38,2663.4,78.5,6.39,Laterite
225,Banana,186.5,76.7,221.2,25.35,2560.4,78.6,6.91,Loamy
226,Groundnut,40.3,66.8,63.8,27.57,507.7,70.2,6.7,Red
227,Cluster Bean,26.4,53.3,22.6,25.48,468.6,50.7,7.28,Sandy
228,Potato,124.8,131.3,157.5,21.12,704.4,62.2,5.39,Alluvial
229,Soybean,23.5,76.4,55.9,30.86,943.9,70.1,6.67,Alluvial
230,Mustard,99.3,55.7,33.9,16.33,564.4,45.6,6.24,Loamy
231,Pomegranate,95.6,45.5,78.8,28.93,572.7,47.1,7.48,Saline
232,Betel Vine,188.6,128.5,118.6,21.32,1873.6,92,7.14,Clayey
233,Fig,72.1,52.5,93.6,33.41,456,51.7,7.34,Alluvial
234,Cherry,121,95.5,108.8,3.91,880.7,76.8,6.04,Karewa
235,Rapeseed,95.8,58.8,38.7,9.39,425,61.3,7,Alluvial
236,Sweet Potato,79,47.1,143.2,27.74,820,69.9,6.26,Loamy
237,Ajwain,42.8,31,21.2,20.33,422.9,54.1,6.66,Alluvial
238,Shatavari,40.2,56.2,47.1,32.51,1122.5,58.7,7.47,Sandy
239,Cotton,111.2,57,70.2,34.01,1048.1,62.9,7.38,Laterite
240,Ash Gourd,61.7,40.8,77.3,32.64,519.1,66.8,6.59,Sandy Loam
241,Maize (Corn),143.1,70.6,55.9,31.24,567.6,58.1,7.34,Forest
242,Tobacco,110.1,52.7,144.8,27.27,999,74.6,6.25,Loamy
243,Cinnamon,91.6,59.2,86.3,22.63,3163.3,81,5.3,Red
244,Shatavari,56.2,59.7,45.7,20.36,936.2,71.4,6.46,Alluvial
245,Sunn Hemp,27.7,41.4,32.5,24.41,940.7,57.1,5.76,Sandy
246,Mace,72,41.6,90.7,28.14,2521.5,82.8,6.05,Coastal
247,Mulberry,181.9,138.5,133.9,25.74,1391.7,64.2,6.35,Black
248,Mulberry,290.1,145.9,129.4,31.23,1359.8,66.4,7.19,Red
249,Hemp (Mesta),73.1,32.4,56.9,25.49,861.9,75.9,5.54,Red
250,Sunn Hemp,28.8,59.4,39,30.18,989,51.5,6.95,Alluvial
251,Grapes,133,182.9,274.5,26.73,695.5,64.7,7.89,Loamy
252,Sweet Potato,62.2,45,138.6,25.39,962.6,67.1,6.79,Sandy
253,Lemongrass,75.8,41.1,59.6,26.25,2267.9,80,5.57,Alluvial
254,Coriander,76.6,42.6,49,23.93,725.9,66.3,6.87,Black
255,Plum,100.2,61,92.7,17.31,988.6,61.5,5.82,Forest
256,Wood Apple,47.8,35.4,40.6,36.05,784.6,42.6,7.99,Red
257,Cashew Nut,70,30.7,56.1,28.62,1824,70.4,5.05,Coastal
258,Apple,169.5,143.7,185.2,20.2,1035.8,72.1,6.17,Karewa
259,Neem,42.4,26.2,55.8,37.99,879.7,42.8,7.18,Red
260,Barnyard Millet,30.6,20.8,23.8,29.96,654.4,43.1,7.5,Red
261,Custard Apple,41.4,34.3,58.1,20.05,930.2,57.3,7.21,Sandy
262,Castor Seed,60.1,49.9,33.4,29.67,701.5,40.5,6.53,Alluvial
263,Almonds,144.4,98.9,133.1,14.48,564.9,41.7,6.82,Arid
264,Black Pepper,115.6,54.2,158.1,28.57,2220,86.2,5.51,Laterite
265,Black Pepper,120.2,45.2,149.8,29.13,3041.3,75.1,5.01,Red
266,Apple,185,111.9,192,-8.77,932.2,60.8,6.52,Forest
267,Ber,49.8,34.5,59,26.48,428.7,46.8,8.78,Saline
268,Fig,60.9,57.6,86.7,35.49,557.9,58,7.55,Saline
269,Cherry,147.4,99.9,149.4,18.11,1124.4,76.8,6.08,Forest
270,Barnyard Millet,34.7,23.5,22.4,29.21,560.9,54.5,7.42,Forest
271,Jackfruit,115.3,44,109.8,28.71,2123.5,84.3,6.51,Laterite
272,Clove,85.3,59.9,90.1,30.95,2272.8,90.7,5.09,Coastal
273,Tomato,118.8,91.6,142.8,24.41,859.9,65.2,6.45,Red
274,Cowpea,23.2,52.6,25.1,24.85,727.9,60.1,6.1,Red
275,Ginger,107.5,59.1,113.2,26.92,2440,85.1,5.63,Laterite
276,Almonds,136.1,95.9,111.2,11.73,739.6,56.3,7.02,Mountain
277,Curry Leaves,67.9,53.2,66.3,27.83,842.9,76.6,7.06,Loamy
278,Date Palm,110.7,58.2,104.6,34.32,136.9,22.2,7.51,Sandy
279,Castor Seed,64.9,48.7,23.2,23.09,707.7,57,7.71,Sandy Loam
280,Popcorn,140.5,65.2,41.8,24.79,504.4,74.6,6.52,Alluvial
281,Mulberry,223,122.4,134.1,27.22,678.5,79.5,6.44,Red
282,Rose,138.1,138.9,143.2,27.87,1062.8,71.5,6.34,Loamy
283,Litchi,106,77.1,108.1,31.15,1750.1,73.4,6.96,Alluvial
284,Shatavari,52.4,45.3,40.5,22.91,882.1,68.6,7.43,Red
285,Chironji,47.4,40.3,30.4,34.9,772.5,41.9,7.66,Red
286,Bottle Gourd,65.5,53.1,72.6,26.96,582,57.9,6.11,Alluvial
287,Ragi,65.5,35.4,33.5,23.12,884.9,63.6,6.76,Sandy
288,Opium Poppy,95.1,64.3,76.1,19.46,556.7,68.1,7.14,Loamy
289,Ragi,64.7,32.4,33.1,22.47,887,50.5,6.76,Sandy
290,Cocoa,120.8,72.6,139,22.35,2133.2,80.1,5.6,Alluvial
291,Onion,138.8,63.5,105.5,16.37,672,50.1,6.08,Alluvial
292,Guar Seed,25.3,57.1,28.7,37.72,440.3,37.8,7.18,Arid/Desert
293,Dragon Fruit,62.2,59.7,94.4,29.54,964.6,64.8,6.39,Sandy
294,Opium Poppy,81.8,67.3,60.6,24.24,771.2,53.5,7.34,Loamy
295,Broccoli,132.5,83,96.3,13.64,652.9,60.5,6.27,Loamy
296,Walnuts,150,89.8,141.1,22.93,1103.6,64.9,6.64,Karewa
297,Indigo,34.8,45.3,38.1,29.58,893.5,66.7,6.94,Loamy
298,Vanilla,97.2,48.3,81.4,28.22,3490.4,79.9,6.18,Laterite
299,Cauliflower,127,97.8,82.9,25.65,634,70.3,6.75,Alluvial
300,Potato,145.4,114.9,172.1,20.46,689.2,63.2,5.22,Peaty
301,Chili,103.2,65.5,74.6,29.38,1114.1,56.9,7.01,Black
302,Mango,135.8,73.4,100.7,24.04,1459.6,55.1,5.94,Alluvial
303,Ashwagandha,32.4,47.4,39.4,37.82,542.1,45.9,8.02,Sandy Loam
304,Amla,78.2,42.7,49.5,35,716.6,51.5,8.64,Saline
305,Isabgol,46.6,30.7,33.5,17.66,307.6,42.1,7.51,Sandy Loam
306,Watermelon,74.6,63.7,99.6,28.34,611.5,60.6,6.84,Alluvial
307,Aloe Vera,27.5,24.7,40,25.86,402.6,43.6,7.13,Sandy
308,Rose,130,142.3,148.4,24.63,1087.3,64.6,6.83,Red
309,Little Millet,31.6,22.2,24.4,24.9,688.1,40.3,6.22,Sandy
310,Vanilla,87.9,42.8,80.5,28.12,2833,86.3,6.18,Forest
311,Amaranth,61.3,33.6,39.1,23.27,604.2,50.8,7.3,Alluvial
312,Cherry,132.4,91.9,134.2,5.48,987.4,73.4,6.34,Forest
313,Cabbage,140.8,84.3,87.3,18.61,566.5,62.4,6.68,Peaty
314,Radish,71.9,59.9,74.9,13.82,648.9,69.2,6.72,Sandy Loam
315,Castor Seed,61.8,48.6,23.4,29.4,796,56.4,7.99,Alluvial
316,Coconut,350.5,300,1,30.08,2509.9,91.3,7.8,Alluvial
317,Turmeric,134.2,52.3,148.1,29.48,1979.9,73.1,6.74,Alluvial
318,Castor Seed,76.9,47.3,31.8,23.24,896.2,56.4,7.74,Sandy Loam
319,Horse Gram,26.5,33.7,21.9,24.75,789.7,40.6,7.38,Sandy
320,Cherry,136.2,82.2,139.3,-6.7,879.3,60.7,6.5,Forest
321,Oil Palm,166.5,104.6,195.4,27.71,2940.2,77.8,5.47,Alluvial
322,Cabbage,137.7,82.7,84.7,16.22,670.8,68,6.47,Loamy
323,Tamarind,55.5,30.2,70,32.62,1242,58,7.98,Alluvial
324,Bajra,63.2,33.2,34.2,30.15,460,44.7,7.67,Alluvial
325,Muskmelon,71.8,77.9,90.6,37.87,442.4,41.1,6.64,Alluvial
326,Sweet Potato,65.3,46.3,120.1,30.54,1033.5,72.6,5.89,Alluvial
327,Sugarcane,263.8,117.9,116.1,30.81,1803.6,83.3,7.42,Red
328,Capsicum,101.3,83.7,108.2,19.48,814.9,66.4,6.4,Forest
329,Pigeon Pea,41.3,53.8,45.4,32.99,881.3,53.6,7.24,Loamy
330,Ashwagandha,39.2,50.1,32.5,22.28,515.9,51.5,8.35,Red
331,Star Anise,77.6,58.8,48.6,21.8,2401.6,89.2,6.14,Sub-Montane
332,Rubber,111.6,71.6,80.7,25.56,2048.4,92.3,4.88,Forest
333,Popcorn,125.5,68.5,51,27.83,832.1,57.9,6.83,Loamy
334,Tamarind,42.9,39.8,62.4,28.05,575.8,73.3,6.09,Alluvial
335,Lentil,24.8,48.2,21.9,16.45,484.5,46.7,6.2,Alluvial
336,Vanilla,87.7,50.2,90.4,22.86,2195,93,5.89,Red
337,Khesari,17.3,47.4,22,24.96,361.2,49.8,7,Alluvial
338,Kalmegh,48.2,38.8,30.8,29.87,1452.8,78.4,6.43,Red
339,Maize (Corn),123.8,70.2,46,23.28,681.2,53.7,6.76,Alluvial
340,Wheat,123.1,55.5,47,24.94,736.4,57.6,6.43,Black
341,Castor Seed,71.7,43,36.1,22.3,601.2,59.2,6.9,Alluvial
342,Black Gram,24.6,49.3,24.1,25.9,843.4,65.6,7.74,Alluvial
343,Muskmelon,71,74.3,98.9,25.1,559.6,54.1,7.22,Sandy
344,Kiwi,134.6,64,129.7,9.02,1302.3,61.2,5.56,Forest
