N,P,K,temperature,humidity,ph,rainfall,label
159.9,90,92.2,16.2,61.8,5.42,439.2,Potato
217.1,90.8,103.6,24.1,70.1,7.22,971.5,Sugarcane
80.9,59.9,74.8,20.6,64.1,5.38,570,Turnip
51.7,32.5,97.7,30.3,83.8,5.33,1525,Pineapple
71.7,21.5,37.7,25.6,54,6.17,502.4,Ragi
111,59,158.4,31.8,77.3,6.73,1652.7,Taro
117.7,49.3,53.4,27.4,79.4,6.19,1257.4,Paddy
66.9,39.3,73.6,22.3,55.3,6.06,1163.8,Lemon
76,55.4,82.4,29.1,83.1,4.77,2635.8,Rubber
72.8,33.7,80.7,25.4,88.3,5.91,2745.2,Cardamom
32.8,55.4,33.7,30.2,58.2,7.17,777.5,Pigeon Pea
35.7,67.7,48.2,22.7,62.2,6.4,1020.9,Soybean
135.2,68.7,88.3,28.8,62.1,6.08,784.1,Tomato
59.4,30.1,35.3,25.6,38.4,6.96,504.1,Safflower
84.2,49.7,48.5,25.4,70.2,6.69,770.2,Chilli
102,46.9,70.2,33.5,81.3,6.46,1170.5,Litchi
39,29.6,78.2,34,55.2,7.37,427.9,Pomegranate
74,41,76.2,30.7,70.4,7.52,722.5,Okra
36.1,55.4,22.2,24.9,41.9,6.29,419.4,Gram
98.4,80.7,118.1,29.2,78.5,6.27,1448.2,Taro
26.3,55.3,49.4,20,60.5,6.92,436.1,Pea
23.1,35.6,11.4,33.5,34.2,8.35,399.7,Moth Bean
103.3,76.3,109.9,22.8,70,5.64,633.9,Tomato
97.4,36,44.1,14.1,62.8,6.62,547.4,Radish
90.5,55,144.8,23.5,50.3,8.51,655.7,Grapes
82.3,73.2,69,30.7,82.3,5.04,3015.5,Rubber
52.8,28.2,38.7,21.3,34,5.88,310.6,Linseed
27.2,49,42.8,16.7,55.2,5.8,394.2,Field Pea
95.1,36.2,74.8,24.7,55.2,7.48,691.7,Watermelon
107.9,47.4,62.5,31.4,63.8,6.82,592.2,Bitter Gourd
93.6,45,49.3,17.9,66.6,6.82,457.8,Spinach
52.8,43.2,134.4,24,71.9,5.34,896.6,Sweet Potato
90.3,48,99.4,31.9,79.1,6.36,1357.2,Turmeric
72.3,42,19,25.3,52.3,6.17,544.9,Mustard
34.4,31.5,47.7,31,40.4,7.97,503.6,Ber
16.1,27.5,32.1,31.1,49.9,6.94,667.2,Horse Gram
24.8,39.8,32.7,29.6,66.8,6.63,862,Urad Dal
69.7,57.8,73.1,12.7,58.9,6.81,544.6,Garlic
126.8,73.2,53.8,26.6,64.9,6.3,1112.3,Maize
125.1,63.2,107.2,23.1,75.3,6.41,1028.7,Papaya
51.9,21.6,23.7,28.9,33.6,6.49,278.3,Fennel
62.7,58,55.2,16.1,60.1,7.16,860.6,Capsicum
46.8,31.9,31.5,14,46.9,6.79,307,Linseed
89,46.9,41.3,24.4,46.4,6.52,544,Sorghum
63.1,37.6,38.9,26.1,53.1,6.44,562,Jowar
131.5,56.2,79.1,16.9,76.8,6.26,599.4,Potato
39.7,49.7,20.2,10.6,42,7.32,379.3,Lentil
114.3,74.2,116.5,35.2,81.2,6.37,1908.1,Jackfruit
51.8,32.5,29.9,18.5,37.5,8.07,378.4,Coriander
120.5,48.3,149.6,16.2,79.2,4.98,1821.2,Coffee
67.3,38.5,76,20,81.6,6.61,1786.9,Cardamom
82.6,48.4,32.9,28.4,69.4,6.09,782.5,Amaranthus
66.8,32.8,43,24.4,57.1,7,1114.6,Amla
115.8,49.9,134.4,18.2,79.1,5.5,2341.6,Coffee
83.7,38.6,111.7,30,78.9,6.17,1671.3,Ginger
55,46.6,82.2,23.3,80.8,5.54,2411.8,Cardamom
102.8,49.9,90.7,27.2,78.5,5.39,1404.4,Ginger
54.1,22.7,34.3,17.7,28.8,7.24,393.6,Coriander
69.2,48.7,72.4,29.5,72.8,6.98,1778.5,Clove
87.5,64.3,65.5,14.1,66.5,6.61,435.6,Lettuce
126.5,80.7,124,35,76.4,6.29,1339.2,Papaya
20.7,39.2,15.9,35.7,30.3,7.72,308.7,Moth Bean
92.7,51.5,57.2,16.7,67.5,7.89,527.6,Cauliflower
77.3,46,24.2,25.1,47.7,6.99,500.4,Bajra
64.1,43,56.1,28.5,64.8,6.05,737,Ash Gourd
62.5,75.7,43,31.7,58.8,7.45,927.6,Cotton
31.6,22,28.1,27.6,64.2,5.77,376.4,Ragi
63.7,43.8,46.1,29.8,83.7,6.78,2355.8,Jute
79.5,42.8,67.6,29.1,42.5,6.21,597.4,Pomegranate
118.4,52.8,43.4,15.1,63.7,5.92,470.3,Wheat
23.7,55,53.2,8.7,63.7,6.1,467.4,Pea
20.6,57.9,37,30,55.9,7.26,503.5,Mung Bean
101.7,41.6,62.2,21.7,79,5.93,661.9,Capsicum
103.8,44.1,74.6,30.8,64.6,7.49,795.2,Bottle Gourd
33.7,45.3,33.6,26.3,48.7,7.39,443.3,Chickpea
83.9,46,173.8,30.2,78.5,5.09,1171,Coconut
69.6,33.7,41,34.3,61.3,8.09,364.5,Pearl Millet
94,46.9,138.9,26.5,61.8,5.7,1008.3,Tobacco
79.3,44.5,106.4,31.5,86.9,6.87,1910.4,Turmeric
84.3,53.8,64.7,11.3,70.2,6.8,630.6,Cauliflower
80.2,49.5,63.9,24.6,61.2,6.47,748.9,Okra
23.1,57.3,54.5,21.9,62.6,7.68,335.9,Field Pea
83,55.5,66.7,18.7,64.3,7.27,654.6,Cabbage
39.9,23.9,25.6,27.5,50.2,6.94,495.1,Sesame
20.3,33.7,32.5,36.1,68.2,7.62,516.3,Horse Gram
104.6,45.9,60.8,13.6,63.5,6.29,1423,Orange
70,29.3,111.8,28.7,76,5.69,1793,Pineapple
22.7,51.9,32.8,23.8,39.2,8.5,459.8,Gram
62.6,35.3,51.7,26.5,80.9,6.68,744.5,Ash Gourd
140.9,41.8,94.9,29.2,66.9,5.38,1714.7,Tea
51.9,31.7,93.8,31.8,83.3,5.77,1175.4,Pineapple
83.4,48,24,33.4,39.3,7.51,521.6,Bajra
96.4,41.9,55.8,18.5,62.5,6.98,512.3,Cauliflower
91.9,53.7,138.6,19.3,61,6.18,1077.3,Tobacco
41.4,26.9,41.6,34.2,64.5,6.77,954.6,Curry Leaf
68.2,51.4,72.9,28.3,33.5,7.27,491.4,Pomegranate
22.1,25.4,35.6,43.3,52.6,6.79,355.2,Horse Gram
69.3,49.1,93.1,26,64.7,7.34,1567,Guava
80.9,26.4,35.1,31.4,41.8,7.48,302.5,Pearl Millet
22.4,58.7,29.7,22.8,51.5,6.7,869.8,Pigeon Pea
48.1,38.6,76.9,27.9,81.5,6.45,2655.9,Clove
51.8,28.6,32.1,30.1,60.3,6.42,579.2,Niger
134,77.3,107.1,15.8,68.2,5.97,625.6,Potato
34.1,46.8,64.5,30.1,67.5,6.12,701,Groundnut
40.4,42.6,35.3,32.8,64.3,6.87,839,Arhar Dal
58.2,51,41.1,17.9,65.1,5.86,899.5,Lemon
45.8,44.3,46,31.8,69.7,6.1,967.3,Curry Leaf
66,38.9,77.1,17.6,66.9,6.63,1341.4,Guava
100.4,52.3,34.2,12.8,54.9,7.27,437.9,Mustard
27.7,67.2,45.5,16.2,62.3,6.22,411.3,Pea
54.2,40.5,63.7,27,59.6,6.61,717,Pumpkin
65.2,43.6,27,27.3,57.5,7.37,338.8,Bajra
115.7,45.9,63.5,18.2,66.4,6.6,599.9,Lettuce
28.4,40.7,60.1,29.3,50.5,6.63,823.4,Groundnut
127.6,35.3,95.3,27.8,78.9,5.66,2121.3,Tea
23.7,43.1,53.1,10.7,55.9,6.38,444.3,Field Pea
69,38.5,83.8,22.3,52.5,7.56,850.5,Grapes
12.9,35.5,41.2,32.7,63.6,6.63,509.5,Horse Gram
39.1,29.1,27.3,15.3,45.9,6.52,362.6,Linseed
65.7,30.3,71.7,25.4,54.6,6.37,800.8,Pumpkin
148.5,71.9,102.4,16.2,70.6,6.24,606.6,Potato
30.2,48.4,35.4,32.8,64.8,6.52,964.5,Cowpea
73,43.2,128.6,26.5,55.8,8.11,795.5,Grapes
72.9,63.1,88.1,33.1,87.1,5.19,2825.5,Rubber
69.4,41.5,67.1,23,70.4,6.39,1345,Guava
47.8,31,31.1,29.4,32.9,7,351.5,Coriander
77.8,40.8,40.3,31.2,70.3,6.26,567.4,Jowar
31.7,67.5,29.3,28.8,65.7,6.6,656.4,Blackgram
84.6,31.8,25.2,15.5,68.8,6.86,458.2,Mustard
81.2,50.4,110.2,26.7,84.6,5.37,2125.3,Black Pepper
48.7,25.9,23.1,30.5,55.5,6.93,548.2,Sesame
88.4,51.2,54.3,35.3,71.6,6.76,780,Ridge Gourd
128.3,66.6,47.4,11.5,60.8,7.08,527.1,Wheat
82.9,52.8,88.7,21,73.8,7.11,460,Carrot
129.4,57.4,51.4,26.7,62,7.5,1317,Mentha
76.9,45.2,171.3,29.8,70.1,7.1,1326.6,Coconut
66.8,32.9,83.2,20.5,77.8,6.44,2535,Clove
82.7,38.7,39.6,21.3,66.2,6.08,880.6,Amaranthus
65.9,25.1,72.5,30,59.9,7.23,758.8,Tamarind
127.4,63.9,95.1,24.7,61.4,6.41,1262.9,Orange
53.4,32.7,77.1,25,84.2,6.25,2347.5,Clove
29,45.3,41,30.4,53.8,6.13,608.9,Blackgram
55.1,42.4,87.5,19.8,79.2,5.61,2220.3,Cardamom
22.2,34.1,23.8,28.8,23.3,7.41,226.4,Moth Bean
126.6,62.9,93.6,21.1,59.5,6.23,766.8,Tomato
98.4,50.4,81.1,17.1,58.2,7.45,429.8,Carrot
86,40,61.7,13.2,65.3,7.32,667.3,Cauliflower
71.4,45.2,70.5,21.4,55.8,6.83,1042,Chilli
65.8,64.9,137.1,25.2,64.3,6.7,558.2,Beetroot
50.2,21.2,114.3,30.4,79.7,5.93,1627,Pineapple
33.7,47.9,21.9,26.6,48,6.75,428.6,Lentil
48.5,29.5,47.7,30.6,66.6,6.53,1074.2,Curry Leaf
88.5,46.5,62.1,31.8,61.7,6.94,712.8,Bitter Gourd
54.5,30.1,35.4,16.9,33.5,6.76,328.9,Linseed
78.7,60.6,51.7,30.6,72.2,6.21,963,Ridge Gourd
66.4,46.1,46.7,21.4,65.1,6.44,467.5,Lettuce
43.8,56.5,31.4,24.5,58.8,6.72,835.3,Pigeon Pea
72.3,47.4,70.5,25.4,75.2,6.42,738,Okra
58.1,25.2,25.2,19.8,40,7.24,281.9,Fennel
64.7,34.2,30.4,29.7,53.1,6.9,390.3,Pearl Millet
64.7,41,62.5,33.8,69.7,6.69,697,Snake Gourd
98.7,47.4,50.2,22.7,50.8,5.81,891.3,Lemon
28.9,72.2,43.2,23.5,62.7,6.4,774.7,Soybean
154.7,87.2,115.1,27.3,67.4,6.94,1267.2,Sugarcane
85.6,33.8,85,33.8,54.9,6.47,572.8,Watermelon
43.7,27.9,24.5,25.7,41,7.33,480.5,Safflower
122.1,52.9,48.8,10.7,59.8,7.58,517.8,Wheat
51,26.8,26.6,14.3,50.5,6.42,365.8,Linseed
61,35.3,63.6,34.1,47.4,7.21,1073.6,Drumstick
82.2,43.8,86.2,32.6,79.7,5.52,2149.5,Turmeric
28.8,49.6,27.3,18.8,48.7,6.49,417.3,Lentil
96.1,45.2,46.7,23.3,58.8,6.83,431.8,Sunflower
88,46.3,57.9,26.7,76.8,5.71,1272.4,Rice
30.2,47.7,49.7,14.4,51.8,7.53,326,Field Pea
21.7,51.7,30.3,31.1,55.4,6.19,745.5,Arhar Dal
77.6,47.4,87.3,28.5,70.7,6.41,1118.1,Mango
63.3,24.8,20.6,31.1,57.6,7.55,516.5,Ragi
56,43.5,64.8,26.1,52,6.88,630.2,Pumpkin
39.6,21.6,29.8,26.3,47.4,6.34,339.9,Safflower
99.3,51.2,108.6,25,75.1,6.46,1420.8,Turmeric
61.6,35.4,41,26.9,62.6,6.21,590.8,Castor
58.3,46.3,65.7,18.1,57.1,7.18,494.3,Garlic
103.8,58.3,86.6,29.3,90.2,4.89,2393.8,Rubber
27.1,55,28,23.3,43.8,6.93,384.2,Lentil
63.2,33.4,66.1,24.9,71,6.31,878.4,Snake Gourd
97.1,39.8,60.3,14.3,57.8,5.68,806.6,Capsicum
101.5,53.3,48.1,27.9,85.1,5.29,784.5,Rice
140.6,65,130.5,24.4,75.7,6.47,1167.2,Papaya
101.8,51.3,70.1,26.3,65,7.12,736.1,Bottle Gourd
34.9,50.6,23.3,26.8,58.2,7.31,957.2,Arhar Dal
17.7,50.9,24.3,31.8,64,6.77,712.1,Blackgram
117.9,47.4,58.3,26.5,72.5,5.62,674.6,Brinjal
35.5,45.6,29.6,28.1,61.4,6.74,440.9,Mung Bean
31.3,53.9,23.6,29.1,59.5,6.41,568.7,Greengram
109.1,55.2,89.2,29.1,77.5,6.17,1239.8,Litchi
18.4,51.2,47.7,21.6,71.5,6.91,452.6,Field Pea
41.8,23.3,57.9,26.8,24,8.11,401,Ber
89.2,59.9,56.8,27.5,46.9,6.68,613.6,Sunflower
146,56.2,53.3,29.5,62,6.74,1018.7,Mentha
88,45.8,22.9,31.8,43.4,6.91,351.1,Bajra
44.4,26.6,56.5,31.9,25,7.16,469,Ber
54.5,29.1,55.8,28,44.1,7.02,788.2,Drumstick
27.2,50.9,43.9,19.3,62.7,5.38,396.5,Field Pea
31.7,52.9,33,13.3,37.4,6.91,389.7,Lentil
132.9,46.2,161.1,24.5,75.3,5.12,2035.9,Coffee
42.6,30.8,104.9,32,71.7,5.05,1528.1,Pineapple
78.4,47.9,66.1,23.1,59.3,6.23,808.4,Chilli
55.3,17.4,32.8,37.3,53.3,6.37,528.3,Ragi
50,35.3,58.9,22.5,61.7,6.53,800.7,Ash Gourd
25.2,54.2,28.4,36.2,65.9,7.01,969.2,Blackgram
129.1,45.4,69.2,35.1,60.6,6.39,773.4,Bottle Gourd
101.8,44.4,69.2,24.9,69.1,6.31,772.6,Bottle Gourd
83.8,41.6,55.8,28.8,62.8,7.28,1189.1,Chilli
66.9,39,96.9,13.2,60.4,7.34,774.1,Grapes
61.4,30.5,69.8,28.3,87.3,6.23,1010.3,Tamarind
141.8,67.3,106.9,24.6,56.3,6.14,584.9,Tomato
147.8,76.8,70.4,21.2,76.6,6.39,484,Broccoli
65.5,36.6,81.4,24.4,78.9,5.87,1643.1,Clove
68.1,28.8,74.6,28,70.8,7.11,929.9,Drumstick
70.9,69.4,61.5,31.2,88.8,5.6,2405.8,Rubber
26.1,41.3,42.4,18.7,55.1,6.31,434.2,Pea
50.6,43.8,63.5,22.9,73.6,6.98,885.4,Snake Gourd
64.4,28.9,62.8,19.7,62.8,7.16,982.1,Amla
87.3,50.7,66.1,28.8,72.8,6.87,1319.8,Litchi
39.2,28.5,16,16.9,42.6,7.85,258,Cumin
22.5,47.9,58.3,11.9,58.6,6.62,386.6,Pea
72.2,48.7,76.7,28.3,61.5,6.96,1205.4,Guava
75,48.6,81.1,19.3,63.9,6.34,699.2,Capsicum
97.9,35.1,67.6,29.6,66.4,6.42,745.3,Bottle Gourd
91,35.5,52.2,15.1,68.5,6.02,520,Radish
72.3,28.6,76.4,31.8,48.6,7.66,1049.1,Amla
54.3,31.5,27.4,25.9,60.8,5.8,414.2,Sesame
24.1,55.2,39.3,37.1,56.9,6.91,649.9,Pigeon Pea
71.1,33.7,41,33.5,64.4,6.75,955.2,Cotton
50.2,36.7,39.1,26.1,41.4,6.33,494.4,Safflower
93.8,51,41.2,24,48.2,6.56,483.2,Sunflower
108.6,58.7,51.1,24.1,80.2,5.97,1250.4,Paddy
77.7,78.5,70.6,33.7,86.1,4.43,2317.7,Rubber
99.7,48.6,71.6,29.2,60.5,6.39,771.3,Bitter Gourd
156.9,71,89.6,15.4,79.9,6.46,576.8,Broccoli
23.6,42.6,34.7,33.9,65.2,6.65,678.5,Greengram
80.1,48.9,73.1,14.8,61.9,6.38,467.1,Turnip
56.4,38.5,94.7,27.1,82.5,5.25,1945.8,Black Pepper
65.8,37.7,27.9,34.4,22.7,7.86,406.4,Pearl Millet
195.6,46.9,199.8,36.1,76.5,6.23,847,Banana
162.5,60.1,179,30.2,83.2,7.27,1311.3,Banana
27.1,41.6,58.2,26.3,66.8,5.92,459.4,Groundnut
33.1,54,35.8,25.4,39.4,7.83,408,Gram
87.5,48.2,53,17.8,66.2,6.8,479.2,Radish
25.9,49.5,31.5,24.5,54.2,6.95,350.3,Chickpea
95.8,51.1,74.7,17.6,51.5,6.17,804.5,Capsicum
86,35,36.7,14.4,41.6,6.56,456.6,Mustard
51.7,46.8,57.3,25.4,63.5,6.87,1251.6,Snake Gourd
89.4,52.8,63,24.9,61.7,6.79,907,Capsicum
63.1,44.5,113.8,13.3,60.8,6.86,480.8,Carrot
86.8,53,103.5,13.3,60.7,6.07,760.6,Turnip
66.2,62.5,73.4,28,80.2,5.55,2672.9,Rubber
35.5,32.1,43.7,25.4,39.8,9.25,560.4,Ber
34.4,47.6,31.8,30.3,70.1,6.3,994.8,Pigeon Pea
95.2,54.8,77.3,17.3,61.4,7,508.5,Cauliflower
163.8,71.4,55.9,20.5,76.2,5.86,838.3,Maize
107,48.6,78.5,31.8,78.4,6.51,1379.5,Litchi
73.3,36.9,70.3,30.2,66,6.7,1455.9,Guava
80.8,56.5,126.2,28.2,72.2,6.08,1978.5,Turmeric
85.1,41.5,71.9,38.4,65.6,6.33,737.4,Bitter Gourd
109.4,72.2,49.8,15.6,63.9,7.03,519.7,Wheat
34.6,30.5,30.2,23.1,26.7,7.79,392.3,Fenugreek
239.7,74.5,102.3,32.8,73.2,7.56,1411.5,Sugarcane
74.6,50.1,76.1,30,54.2,6.56,325.7,Chilli
52,29.5,75.7,31.7,69.7,6.35,1563.9,Clove
73,45.7,74,25.2,50,6.75,533.5,Muskmelon
66.6,31.2,39.7,31.3,58.5,7.12,748.8,Jowar
27.4,46.9,64.7,33,65.3,7.06,574.9,Groundnut
144.2,48.3,149.2,16.4,82.7,5.44,2116,Coffee
44.4,42.3,38.5,19.8,41.2,7.32,342.9,Cumin
27.9,58.8,20.8,28.9,60.8,6.93,767.6,Cowpea
85.9,48,27.9,20.6,47.2,6.81,380,Mustard
77.9,40.2,50.9,16.4,54.9,6.33,456.8,Spinach
30.7,35.7,27.3,26,45.6,7.38,745.8,Ashwagandha
43.3,43.6,31.2,8.8,33,7.26,339.6,Cumin
48.8,37.6,81.6,29.6,62.9,7.12,731.9,Pumpkin
95.3,48.9,91.3,21.2,61.5,7.01,1598.9,Guava
20,49.7,33.5,24.6,59.1,6.74,640.2,Pigeon Pea
86.5,47.1,64.1,16.3,74.4,6.44,591.4,Cabbage
70.5,37.9,89,28.8,69.9,5.98,1104.5,Guava
47,32.2,30.1,24.3,57.9,6.88,711.2,Niger
74.1,29.3,33.6,33.4,80.1,6.12,1306.1,Jute
75.2,44.1,86.9,26.5,71.9,5.9,531.7,Cucumber
79.9,50.6,74.4,26,78.9,5.88,2012,Black Pepper
45.5,25.4,22.4,35.6,56.8,6.12,465.5,Sesame
47,36.9,92.5,22.1,78.6,5.72,1745.3,Pineapple
78.8,54.3,82.7,25.4,54.6,6.68,710.6,Onion
31.5,46.8,13.3,34.3,53,6.69,791.2,Cowpea
103.4,49.4,68.4,21.2,72.1,6.22,729.3,Onion
32.1,28.4,31.3,9.7,44,6.16,226.6,Fenugreek
36.7,54.2,23.1,31,63.7,6.63,490.5,Mung Bean
23.9,47.3,24.9,28.1,66.1,6.5,750.2,Blackgram
33.4,56.2,27.4,26.7,59.2,6.58,736.7,Pigeon Pea
113.3,51,73,33,61.6,7.4,927.7,Bottle Gourd
72.1,48,59,19.8,66.8,6.61,501.8,Radish
47.9,25.5,24.8,20.1,28.4,7.39,316,Cumin
76.2,49.7,51.3,34.9,73.8,7.21,929.2,Ridge Gourd
35.9,29.6,24.6,24.5,39.1,7.15,205.9,Fenugreek
123.8,54.7,48.7,15.1,63,6.61,587.8,Wheat
108.5,59.2,118.3,22.8,62.9,6.11,1169.8,Tobacco
20.2,23.9,14.7,35.6,20,7.9,298.5,Moth Bean
50.7,28.9,46,40.9,56.8,6.98,718.4,Drumstick
68.5,29.4,67.7,31.7,71.6,7.32,859.1,Tamarind
113.9,55.8,56.5,16.6,69.8,6.63,472.4,Lettuce
82.5,48.4,85.6,20.1,55.2,7.35,515.2,Garlic
140.9,53.6,52.1,28.3,77.1,6.42,935.1,Mentha
39.7,49.9,36.7,27.6,62.9,6.77,662.4,Greengram
28.7,50.5,15.6,36.3,54,7.61,587.8,Cowpea
108.6,42.9,78.5,31.9,76.1,6.69,804.1,Mango
59.1,34.6,41.3,31.1,49.5,7.42,379.5,Ber
143,73,97.3,18,65.5,6.28,732.1,Broccoli
105,48.7,75.5,35.7,75,6.54,818,Mango
93.1,37.6,91.7,33.2,76.1,6.5,1225.8,Litchi
93.6,41.7,26,14.2,37.1,6.73,368.2,Barley
105.9,53.7,81.6,27.4,73.6,7.05,754,Bitter Gourd
82,55.5,46.3,24.6,63.5,6.37,466.8,Sunflower
83.3,49.1,71.9,31.1,59.4,5.95,925.4,Orange
122.3,49.2,46.6,24.7,73.8,7.46,845.7,Mentha
26.3,52.1,24.2,33.5,53.8,7.31,552.3,Cluster Bean
106.3,70.3,96.6,23.1,61,6.65,927.1,Tomato
81.1,43.1,52.9,17.3,66,6.66,569.9,Spinach
29.6,55.7,42.6,35.5,52.7,7.07,858.6,Cowpea
96.4,39.7,95.7,31.1,72.6,6.73,2367.1,Betel Nut
50.4,42.5,36.4,19.4,50.4,6.34,278.4,Barley
55.7,50.2,74.6,19,55.6,6.17,640.1,Garlic
50.8,31.1,21.5,25,44.1,7.16,395.4,Coriander
77.4,42.8,70.4,29.4,68.6,6.47,889.8,Bitter Gourd
77.7,73.7,117.8,24.9,66.6,7.65,576.7,Beetroot
99.6,49.4,61,26.7,62.6,6.73,672.4,Bottle Gourd
113.5,46.6,52.3,12.2,73.3,7,615.8,Cauliflower
112.9,54.8,126.2,22.1,63,6.44,865.3,Tobacco
54.5,33.9,32.8,24.3,41.8,6.5,810,Niger
75.4,41.8,58,25.9,46.2,6.98,567.6,Sunflower
81.8,49,64.2,32,74.1,7.54,1049.6,Chilli
98.9,62.8,53.4,17.7,67.6,6.15,678.5,Lettuce
58.5,19,59.1,34.9,62.6,6.86,1131.4,Tamarind
51.3,37.7,78.7,24.8,60.9,6.5,694.2,Pumpkin
38.4,51.8,30.4,30.2,53.2,6.47,807.8,Blackgram
26.6,47.9,30.4,33.9,61.5,5.95,552.3,Blackgram
40.4,27.9,27.5,25.1,41.2,6.87,418.9,Fennel
107.4,42.7,115.7,23,89.3,4.72,2077.9,Tea
118.6,57.4,61,30.2,62.5,6.46,900.1,Bitter Gourd
63.8,44.5,26.8,26.9,62.2,6.44,379.6,Mustard
51.5,32.4,42.3,27.8,59.8,5.79,647.6,Curry Leaf
76,57.4,68.2,26.5,76.5,6.02,767.3,Ridge Gourd
81,64.6,103.9,29.8,69,6.56,1317.5,Turmeric
117.7,35.4,103.8,27.1,70.5,5.18,2155.8,Tea
36.4,29.3,33.9,24.2,35.8,6.7,553.9,Safflower
147.5,68.8,92.5,15.7,68.8,6.36,606,Broccoli
95.1,39.4,53.1,36.2,76.6,5.73,1582.6,Rice
65.3,31.2,64.6,24.1,47.1,6.12,836,Amla
109.9,56.9,121,25.7,83.1,6.66,1860.4,Jackfruit
48,38.8,76.9,26,71.5,6.04,2538,Clove
32.1,45.6,22.4,34.3,60.4,7.24,716.2,Arhar Dal
37.5,54.6,28.3,17.9,30.3,6.64,496.8,Gram
142.1,80.7,102.8,20.8,69.6,6.15,446,Potato
126.9,54.9,47.8,19.8,56.3,8.4,465.3,Wheat
72,50.9,77.3,29,55.4,5.95,543.7,Muskmelon
60.1,29.7,36.5,27.1,58.9,5.48,608.6,Ragi
85.6,29.9,54,17.8,66.2,7.65,441.6,Radish
64,38.3,79,25.1,77,6.94,1461,Guava
25.9,49.5,34.8,19.4,47.7,7.88,394.2,Chickpea
131.8,45.5,97.1,29.5,80.9,4.96,2176.2,Tea
60,24.5,36.4,29.8,79.1,6.04,1903.2,Jute
66.4,44.1,137.6,29.5,68.8,5.41,846.7,Sweet Potato
70.3,29.8,102.3,31.5,79.3,7.63,1889.5,Betel Nut
24.1,57.1,35.2,19.7,46.1,6.79,389.3,Lentil
70.3,47.7,62,11.7,71,6.92,467.3,Spinach
57.8,22.2,21.7,36.3,63.4,6.38,508.9,Sesame
98.5,43.7,33,28.8,63.1,6.47,586.6,Sorghum
94.1,53.8,71.6,24.9,71.2,6.46,940,Bitter Gourd
26.2,29.6,18.6,30.3,35.6,8.21,205.7,Moth Bean
33.6,58.4,26.8,34.9,67,7.53,884.5,Cowpea
64.8,25.1,39.3,15.3,18.5,7.15,357.1,Barley
58.7,29.2,29.3,15,56,6.76,319.7,Linseed
23.8,76,51.2,23.2,60.3,6.19,1003.4,Soybean
79.6,48.1,104.6,23.6,75.6,5.68,944.7,Sweet Potato
31.7,51.3,47.3,28.1,59.7,6.66,380.7,Field Pea
74.8,48.2,82,24,82.3,6.67,1950.9,Guava
104.9,50.2,60.8,16.1,66,6.82,517.7,Lettuce
165.8,55,54.5,32.7,86.3,6.32,1589.3,Rice
89,42.1,52,32.3,71.6,6.85,774.7,Okra
66,43.2,61.4,20.3,56.6,6.02,675.4,Capsicum
111.5,47,42.9,32.8,80.8,6.83,1123.4,Rice
28.5,54.7,27.4,30.2,55.2,6.82,452.1,Blackgram
119.9,64.7,39,23.1,51.6,6.69,566,Wheat
87,41.8,27.6,16.2,59.4,6.78,717,Mustard
73,56.9,48.1,32.6,64.4,6.69,797.5,Ridge Gourd
86.9,54.5,71.6,22.8,72.6,7.16,706.1,Snake Gourd
